Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Sri Atluri Travels,A/C Seater / Sleeper (2+1),21:46,07h 21m,05:07,3.5,INR 460,13 Seats available
Navayuga Travels,NON AC Seater / Sleeper 2+1,21:47,06h 23m,04:10,3.9,INR 410,18 Seats available
LVP Travels,A/C Seater / Sleeper (2+1),21:50,06h 30m,04:20,3.6,432,13 Seats available
Mayuri Travels,Non A/C Seater / Sleeper (2+1),21:48,06h 12m,04:00,3.9,INR 450,23 Seats available
SUNRISE TOUR AND TRAVELS,Non A/C Seater / Sleeper (2+1),21:55,06h 25m,04:20,New,INR 399,15 Seats available
Mayuri Travels,A/C Sleeper (2+1),21:50,04h 40m,02:30,3.9,INR 999,15 Seats available
Mayuri Travels,Non A/C Seater / Sleeper (2+1),21:50,04h 10m,02:00,3.9,INR 450,11 Seats available
SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),21:48,06h 27m,04:15,3.9,INR 499,12 Seats available
NAVADISHA TRAVELS,A/C Seater / Sleeper (2+1),21:50,06h 20m,04:10,New,INR 480,14 Seats available
Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 40m,04:30,3.8,INR 500,16 Seats available
CVR Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 27m,04:17,3.7,INR 499,17 Seats available
DMR Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 30m,04:30,3.6,INR 400,19 Seats available
DMR Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 40m,04:30,3.6,INR 400,11 Seats available
Ramana Tours And Travels,NON AC Seater / Sleeper 2+1,22:00,06h 00m,04:00,3.6,INR 499,12 Seats available
Sai Godavari Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 10m,04:10,3.6,428,14 Seats available
V Kaveri Travels,A/C Sleeper (2+1),21:50,06h 55m,04:45,3.6,INR 600,11 Seats available
SREE VENKATESHWARA TRAVELS,A/C Seater / Sleeper (2+1),22:00,06h 00m,04:00,3.5,459,16 Seats available
Prasanna Travels,A/C Seater / Sleeper (2+1),22:05,07h 30m,05:35,3.2,INR 500,21 Seats available
SVM Tours And Travels,Non A/C Seater / Sleeper (2+1),21:46,06h 34m,04:20,3.4,INR 346,12 Seats available
KVR Tours and Travels,Scania Multi-Axle AC Seater (2+2),21:54,06h 21m,04:15,3.3,494,35 Seats available
KVR Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,05h 25m,03:15,3.3,405,14 Seats available
Sai Sri Durga Travels,Non A/C Seater / Sleeper (2+1),22:40,07h 05m,05:45,3.1,INR 3000,40 Seats available
Sri Atluri Travels,Non A/C Seater / Sleeper (2+1),22:00,05h 50m,03:50,3.1,INR 450,12 Seats available
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 55m,04:45,3.9,INR 450,11 Seats available
Ramana Tours And Travels,A/C Seater / Sleeper (2+1),21:50,07h 00m,04:50,3.8,485,20 Seats available
Ajay Bus,Non A/C Seater / Sleeper (2+1),22:00,06h 40m,04:40,3.1,INR 390,16 Seats available
BSR Tours And Travels,A/C Seater / Sleeper (2+1),21:55,03h 55m,01:50,3.6,INR 580,22 Seats available
Mahi Trans Solutions,Non A/C Seater / Sleeper (2+1),21:48,06h 42m,04:30,3.7,INR 399,11 Seats available
Puri Jagannadh Tours And Travels,A/C Seater / Sleeper (2+1),21:50,06h 05m,03:55,3.9,INR 499,16 Seats available
Sri Sai Padmavathi Travels,A/C Seater/Sleeper (2+1),22:35,06h 45m,05:20,3.8,INR 395,28 Seats available
Mahi Trans Solutions,Non A/C Seater / Sleeper (2+1),21:46,06h 29m,04:15,3.8,404,15 Seats available
LVP Travels,Non A/C Seater / Sleeper (2+1),21:48,06h 32m,04:20,3.7,432,14 Seats available
LVP Travels,Non A/C Seater / Sleeper (2+1),21:46,06h 44m,04:30,3.7,396,15 Seats available
Sai Srinivasa Travels,A/C Seater / Sleeper (2+1),22:00,06h 50m,04:50,3.7,INR 2000,40 Seats available
SS Prasanna Travels,A/C Seater (2+2),22:50,06h 15m,05:05,3.7,INR 3999,40 Seats available
SREE VENKATESHWARA TRAVELS,Non A/C Seater / Sleeper (2+1),22:00,06h 00m,04:00,3.5,404,15 Seats available
DSM TRAVELS,Non A/C Seater / Sleeper (2+1),21:50,06h 20m,04:10,3.4,INR 4000,46 Seats available
Srivastav Travels,NON A/C Sleeper (2+1),21:55,06h 30m,04:25,3.4,INR 1799,36 Seats available
Ajay Bus,Non A/C Seater / Sleeper (2+1),21:50,07h 05m,04:55,3.1,INR 4000,31 Seats available
Ajay Bus,Non A/C Seater / Sleeper (2+1),21:50,06h 10m,04:00,3.1,INR 449,12 Seats available
Vasireddy Travels,2+1 Air Suspension A/C Seater / Sleeper,22:15,07h 15m,05:30,3.0,INR 409,17 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:48,06h 32m,04:20,3.9,INR 410,10 Seats available
Orange Tours And Travels,A/C Sleeper (2+1),21:55,06h 50m,04:45,3.6,INR 700,8 Seats available
Morning Star Travels,A/C Sleeper (2+1),22:30,06h 55m,05:25,3.8,INR 690,1 Seat available
Nani Svkdt Travels,A/C Sleeper (2+1),22:00,06h 25m,04:25,3.6,696,8 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 45m,05:45,3.0,INR 400,10 Seats available
Orange Tours And Travels,NON A/C Sleeper (2+1),22:00,07h 45m,05:45,3.2,INR 600,4 Seats available
V Kaveri Travels,A/C Seater / Sleeper (2+1),21:50,06h 25m,04:15,3.8,INR 500,9 Seats available
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:50,06h 40m,04:30,3.9,INR 649,5 Seats available
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 40m,04:30,3.4,INR 450,5 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 30m,05:30,3.1,INR 400,7 Seats available
Chandu Travels,A/C Seater/Sleeper (2+1),21:50,06h 40m,04:30,3.7,380,5 Seats available
Morning Star Travels,NON A/C Sleeper (2+1),22:15,06h 55m,05:10,3.5,INR 500,6 Seats available
Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:50,06h 45m,04:35,3.2,INR 800,1 Seat available
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:50,07h 15m,05:05,3.7,INR 450,9 Seats available
LVP Travels,A/C Seater / Sleeper (2+1),21:50,06h 30m,04:20,3.6,INR 500,3 Seats available
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),21:55,04h 50m,02:45,3.6,INR 399,5 Seats available
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),21:55,04h 20m,02:15,3.0,INR 500,9 Seats available
KVR Tours and Travels,A/C Sleeper (2+1),21:50,04h 15m,02:05,3.1,720,4 Seats available
Sai Virat Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:48,05h 17m,03:05,3.0,700,5 Seats available
LVR Travels,Non A/C Seater / Sleeper (2+1),21:48,07h 17m,05:05,3.9,440,9 Seats available
SREE KARA TRAVELS,Non A/C Seater / Sleeper (2+1),22:00,06h 15m,04:15,3.9,400,6 Seats available
Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,05h 45m,03:45,3.9,INR 499,2 Seats available
